SUBDIVISION,YEAR,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ANDAMAN AND NICOBAR ISLANDS,JAN,0,12.66475987,11.92176502,1.389793556,32.33301517,110.9363566,12.84676886,38.92329083,0,614.4769091,66.54934602,0,30.52566774,0,6.010134234,80.94009482,6.815417107,175.7639439,13.35136795,189.5811235,85.45117012,23.27564937,39.41483131,152.5250818,3.045862413,46.65187329,83.40275614,74.99222973,32.63711985,1.582797772,6.732152872,6.868031057,7.991566265,15.47590104,22.27309322,9.91024352,54.83025872,0.667240618,0,52.24712042,56.97898002,26.49922321,0,0.835461196,93.96930725,0,29.57609616,171.1197304,44.00466583,66.50187494,30.808015,14.23224956,11.19391488,92.06858104,103.0801478,155.8080814,80.93604124,48.55419803,16.99207871,50.77412064,228.9532433,21.16894748,145.747829,53.4519337,49.48541239,11.70081111,15.97539503,25.55010392,296.2513342,23.64110672,83.01089072,119.2755117,23.78371649,6.072036451,11.5217167,8.130117001,25.03039673,88.12870053,9.681052543,14.87353882,54.44098537,12.09947416,67.14754098,14.87668,14.43932412,86.46331078,8.918567139,10.49477863,43.7154269,40.46829593,12.99876993,0.70689902,37.40626931,67.35087592,99.38092532,8.740512683,60.61229853,39.00255587,0,21.03926882,4.837579618,9.197948516,24.55813149,76.71679469,323.8965389,131.407726,76.04111475,20.87580527,160.5098698,269.9727404,161.4962923,45.50383422,49.09609496,176.1497046,20.99871849
ANDAMAN AND NICOBAR ISLANDS,FEB,122.6205051,143.6004269,18.64361126,0,0,0,52.30909234,33.21649255,10.49234312,0.842181818,0.392390012,0,38.46234135,0,2.704560405,7.215589849,12.02720666,10.63494019,3.135548533,26.50889742,0,0,0,0,17.76753074,61.95808712,133.0847214,90.4368537,0,1.413212297,17.50359747,162.6688452,0,14.35038096,11.03343044,42.30342756,1.520247469,3.736547461,11.62097162,9.862976814,2.430383034,117.2933745,50.86458791,0,8.181124694,0.786601491,34.4878407,4.288203267,21.65674653,104.3484704,21.23552463,8.887387277,1.994955127,63.97087589,124.801056,15.23320481,27.1475082,16.23415171,43.77620279,2.672322139,30.04489706,1.245232205,88.71010855,25.17127072,39.11136208,1.451925466,17.91715576,50.52475505,29.42185515,10.97218829,44.99461078,31.88661032,6.297660141,0.883205302,28.85619137,2.58685541,0,220.7027111,15.48968407,0.602981304,26.46854537,47.33029597,15.34800937,0.22204,3.891449053,12.4169972,0,51.74508906,10.5490895,3.721222614,0,0,35.64785494,74.97550338,17.53124188,0,10.8089652,25.69159185,0,18.58683871,1.579617834,62.89910248,6.314948097,6.034752778,103.2960756,49.97658303,42.61022227,4.284771488,9.620465381,86.09886569,61.41977423,25.49842275,10.07700278,10.55786873,-9.456472814
ANDAMAN AND NICOBAR ISLANDS,MAR,9.361515411,0,0,3.527937488,0,113.5419079,0,301.8749962,0,0,1.020214031,0,22.58899413,0,84.14187928,11.92140931,0,4.455177647,0,12.05652477,16.76777678,12.00277389,9.261408451,0,18.07211698,73.96475784,145.2242061,112.5741481,3.225011843,5.709377678,12.11787517,6.491700588,0.605421687,109.2692406,0,37.3483058,16.31732283,79.26818543,0,20.65893792,14.244745,66.72314371,0,0,0,68.53265486,10.61570594,70.04065336,7.602900378,45.68624742,5.061316751,18.89346666,34.69005303,10.69126517,41.68405491,17.68687539,7.495953757,2.297984945,36.43216877,7.635206112,41.72902369,4.023057892,20.01804613,5.774585635,44.954218,6.405553526,26.91986456,19.79557601,8.559085133,0.678692059,6.353405689,20.56849608,2.612858995,10.15686097,1.764587242,6.097587751,3.511051125,33.39747585,19.44278052,1.507453259,15.33972516,33.21424279,81.65620609,27.31092,28.67383513,0,77.75314573,188.6144936,10.21151864,2.635866019,0.273658314,0,11.34976547,217.6831141,160.0144562,9.482631685,204.1389377,26.12097778,25.80454015,63.11780645,4.936305733,107.5881251,44.30487395,0.528040868,332.3015262,33.86571087,48.72977547,0,3.924137195,276.9784264,41.61997859,29.16043028,0,4.306499087,-0.859255636
ANDAMAN AND NICOBAR ISLANDS,APR,0,0.997225187,256.6984299,28.75803589,0,21.64611837,17.82566014,130.6710478,153.0133372,23.05472727,1.96195006,44.26933817,27.74444023,0.936989705,3.380700507,11.18939295,23.72032424,18.68300304,37.93002257,249.7091766,98.13448845,72.74654176,54.27616115,0.624590835,110.2602193,118.5085897,78.45704014,9.35257785,3.225011843,32.89958226,87.36838394,123.624559,161.7686747,117.2416745,115.490113,75.14035386,78.34341957,0,70.63371813,106.6267764,91.27438505,134.8187571,150.1587569,99.73318032,51.58653627,38.74012341,84.18624513,118.4360902,52.83631778,176.1218355,20.90543875,15.2887921,96.09033859,47.27129641,110.6134108,47.43763109,70.40118731,13.41726694,73.4403402,24.62353971,88.18733673,78.06648053,28.51886024,43.08729282,42.09241102,152.2813592,26.1255079,346.8829424,25.89123253,182.7943945,7.186639222,68.99696569,43.41365714,42.83545715,97.67509381,90.07800087,10.30663395,198.8610159,44.37149082,8.240744484,13.30946742,98.10063852,51.08009368,97.1425,136.0983103,5.809787681,26.15713986,225.3462188,17.80686308,95.12375308,21.34534852,0,216.2849674,277.1552083,33.61085227,82.62258216,26.5435348,29.77075824,64.95625625,211.2962151,53.9044586,200.7754216,136.8238754,9.429301216,135.6979106,61.15555556,52.46950243,5.530344595,174.9405679,113.1062929,75.15840794,31.39832376,13.00636406,191.9865077,27.43095659
ANDAMAN AND NICOBAR ISLANDS,MAY,342.3091824,234.4476414,386.1890904,298.8056145,491.2674791,617.6158681,345.4489999,328.5067215,408.8266552,148.1187273,149.6575505,350.866797,115.4548589,913.3775648,222.29984,762.6564749,189.6957761,341.1803785,355.2273047,223.8958479,315.4706721,155.0628627,303.9034261,247.8376432,511.8064141,457.8116052,355.8667466,198.635025,264.966973,271.1671754,546.6508132,58.33122267,880.0409639,182.2404589,340.7989495,272.827525,486.9859393,427.9681325,228.6970899,373.1937173,208.6753877,217.8003884,365.9725137,275.9110601,294.2932355,445.3147688,127.3356568,805.978014,509.6247163,664.7484166,156.680762,220.6930924,263.8882309,473.0663943,1221.769694,317.3413942,263.2700516,393.3260683,420.9139498,239.8090986,718.2955944,285.0623878,435.0497286,312.9381215,474.5829911,358.8818122,369.4641084,406.6149421,388.2614994,623.7180022,286.7364895,373.9330822,98.01571049,804.1584275,281.0883677,211.7525928,272.7293906,206.0992521,224.3583927,304.1035708,122.4922171,507.110314,454.8046838,471.39092,195.9037378,275.3383691,108.5790657,587.7076031,265.6682701,231.025904,384.6267608,274.0411866,205.7344812,537.2820818,787.5659172,302.3722642,405.4046062,361.4713939,388.08503,414.847914,365.2866242,506.8162541,313.8428967,240.635767,397.7142533,585.142493,577.1645267,118.5785598,420.13585,331.5009392,719.12319,345.3815614,278.8751933,461.0732409,273.2571637
ANDAMAN AND NICOBAR ISLANDS,JUN,412.1368793,478.5683671,627.9219004,672.1255451,647.8087438,305.8516355,426.3406163,691.6932171,810.6584149,578.7894545,415.9334126,450.0911756,227.0431332,843.4781328,226.2064272,743.3103282,362.4866451,785.9795661,285.9417968,391.1414864,868.9147915,211.8327392,714.8515034,462.1972177,439.9240611,375.9646055,661.8267226,457.8472973,507.616864,222.4396155,814.1416874,666.4812604,452.976506,467.3722113,755.6353107,494.4767774,548.3025872,447.5850066,451.2205387,662.4188482,361.7895189,1019.428284,593.7809341,386.2963707,704.3721108,646.6847504,290.4267014,1101.455639,500.0250946,463.7559612,816.302369,329.8277222,505.0561395,478.4562057,481.2499472,375.9227791,440.3366349,344.9201274,588.6747269,94.67655579,474.0417091,522.2312292,579.7006784,301.5370166,470.5287645,401.4146876,431.2474041,395.6813391,755.6602287,499.2911247,353.3951722,503.0031158,189.4657753,667.0408043,623.4182927,414.5435794,480.5609652,539.5660642,474.6942764,313.7512717,258.4442911,423.9560847,497.4913349,323.0682,169.68766,446.5562296,153.8901753,563.0740254,380.104793,433.5224346,272.9741686,471.266013,235.7873813,453.665334,413.9383036,295.4458202,218.7789286,303.3611639,575.0726091,472.4154839,373.4808917,425.3354374,635.0031142,338.6250653,466.7813227,502.1769813,880.5357103,207.5623025,438.4906853,389.0694025,617.160977,526.9221936,488.1487628,481.2165431,338.4066046
ANDAMAN AND NICOBAR ISLANDS,JUL,175.6435146,726.378826,636.6729832,394.1668339,218.8220726,444.8477752,295.9059583,386.7453295,316.0193821,493.6238182,220.3662307,930.9477799,182.4756583,594.613667,296.6001245,210.0886957,164.7059134,423.098161,492.6857065,329.081298,684.5767327,400.0654298,260.3963446,243.96518,198.1841143,372.3901005,150.6195327,272.76922,373.1983704,163.5369269,563.4063937,304.3572667,446.4379518,623.5381217,463.5071946,235.3313051,340.1300337,357.7744194,274.6362434,403.1824981,127.5951093,517.3155129,670.3483723,382.9545259,755.9586471,379.0435932,234.7074488,1043.054395,229.162169,633.1194761,347.9105123,273.893117,905.5987966,272.4947255,382.8153115,418.2485965,307.2328074,212.9713144,564.6266155,275.8218208,748.062298,497.4223722,473.3033921,417.9911602,502.1278833,465.1285934,327.8045147,295.8978251,185.7321474,432.2137262,355.2699476,714.5647897,305.4365168,635.5766155,357.1732176,379.2514806,531.0747975,566.8681832,186.279586,310.032887,34.06321322,587.8920974,455.7639344,236.69464,560.3686636,396.660406,234.4565603,830.3993588,423.1450782,260.0979557,1256.775809,286.2941029,326.5055772,224.0369703,381.109099,261.7206345,677.1337821,271.1572187,545.7088221,235.8205161,457.2993631,474.9486143,298.0054078,393.6921844,710.4041424,347.7537236,640.0599346,232.9719939,416.3382979,592.132765,427.3792624,383.018861,547.9077328,456.9056612,283.8086381
ANDAMAN AND NICOBAR ISLANDS,AUG,578.3421447,325.7934685,203.0504873,353.3282848,283.1347367,378.4062174,430.2130873,493.7112152,233.7044521,389.8249091,161.5077289,611.1986875,215.1720402,796.4412496,328.6040893,476.22893,173.5926828,671.7258168,333.7841986,237.5753664,195.8390339,235.9193868,299.5957943,654.1964403,375.757893,358.8253122,724.6597963,383.2840849,736.5927049,322.7776885,439.9835911,870.1701266,498.3831325,527.9627087,342.3456921,293.6834106,205.5374578,1186.620715,283.1703944,415.7111444,248.0340907,310.072584,364.3491758,362.6945919,115.1038794,532.2342335,138.7963941,1236.227742,274.0883985,632.1733112,463.5505972,241.3888964,453.6306296,239.1839241,699.4634636,430.005768,608.9955944,349.9608686,571.1066455,213.5312643,854.4713084,231.8047643,385.8272727,253.8596685,390.9943789,328.7330069,326.8336343,525.0431265,382.3771283,551.6635286,359.852732,376.8714388,116.3057234,545.8208766,530.1027674,321.1396216,559.2764663,159.749143,302.6942429,446.2061647,501.1728833,420.1601713,495.4529274,325.62166,498.2078853,424.1145007,135.6939041,671.2285496,469.0547157,254.2835453,589.1863508,203.3512846,263.122732,585.5713891,523.7039773,354.403052,519.1039744,220.9190642,395.4577557,283.4492903,459.3726115,447.9122201,352.3340089,425.299202,537.7973746,405.0733572,381.5654744,160.2305245,607.6083399,448.2623727,497.8234332,228.3329506,376.8330343,666.8127618,285.6077982
ANDAMAN AND NICOBAR ISLANDS,SEP,511.2001284,338.0593383,1040.491067,317.5143739,145.145202,200.827876,263.5738989,916.8922569,580.2015928,406.5632727,455.2508918,364.957833,291.5540443,1051.677245,354.4476665,317.172232,114.0580098,726.3376718,587.8647765,395.4694696,602.4576208,203.7227569,217.427717,898.5363748,128.1292788,371.0152909,194.3441582,581.0610752,379.7773946,166.41988,1135.489784,716.0627996,700.9572289,359.9788374,360.3910222,404.3231442,519.4178853,637.2147903,468.4704185,687.7427076,322.9033903,527.8729724,565.9136332,516.419452,410.0788753,236.2754227,195.4663069,1559.680788,262.4920555,439.426007,389.8314184,217.8963622,653.4586348,390.8938604,768.3928194,485.1111197,622.2654585,386.3579849,830.5958476,288.9289246,422.158623,475.8702764,671.5643148,313.5303867,560.6756845,379.6358056,315.5361174,370.1312352,376.3857687,437.756378,486.504229,338.2374911,221.2220615,300.179402,469.7954034,340.9105879,572.5278528,360.1339981,292.4484622,410.9317585,284.9128364,715.6483098,258.8777518,344.60608,501.6897081,368.7506416,261.5713986,1129.792071,359.8505411,419.8779517,602.3219499,265.3227653,260.0055428,317.8198881,373.4042857,346.3222007,508.8422985,200.8810538,645.1135038,705.3963441,480.2038217,308.4564553,345.5178744,198.6188008,922.2341842,952.2950219,536.7074805,205.7188543,662.4196755,768.6963586,1170.343023,321.1716228,483.8133081,726.9648297,345.4104868
ANDAMAN AND NICOBAR ISLANDS,OCT,151.3189212,180.6972038,281.8102328,278.7070615,236.5787285,264.964523,104.9255236,304.6552312,416.9457302,335.5041818,226.6444709,164.1605697,317.5347793,692.8101881,178.8766201,237.3824486,124.4147711,571.2687467,364.8362438,125.2023726,141.7737024,268.5215159,268.6885359,554.3868249,332.5066467,407.401919,464.222888,70.61625294,475.1087447,208.1944355,358.7489464,318.0933288,220.8578313,164.044551,395.2442885,235.4792192,267.4622047,152.2643091,347.5396825,510.2091249,186.9369617,396.9604752,306.2697527,234.5557309,555.6347188,310.314288,128.6560183,504.7827845,358.2578815,620.0083341,329.7557892,164.8206368,368.7342059,353.4302535,476.9810982,265.6098396,299.3316669,162.2673885,418.3219378,109.3743276,594.6385876,269.736453,201.2773406,286.2121547,602.5296116,225.3046693,218.1832957,458.5207838,399.7092757,188.6763924,274.5504491,265.2138886,109.5390886,278.2096701,251.2979831,151.9777553,312.3702904,440.7704892,289.5441465,176.9750126,280.7771262,321.9409105,349.8866511,148.32272,294.5212494,293.1094844,179.1494728,200.4211196,248.7053341,246.9186256,176.0991253,485.8752594,349.6846757,408.1717235,298.8127597,139.3534569,424.6965568,160.2325185,373.0853466,483.6450323,206.7324841,226.4181872,273.4472763,303.5480647,258.6056232,229.8265233,516.53562,200.5870931,319.1209635,215.5517593,282.450146,309.1005609,471.7443396,350.2156193,193.5344592
